50 Cent|60 Cent|1975-07-06
André Hunebelle|Adrien Houdibelle|1896-09-01 – 1985-11-27
André Morell|Andrej Morlen|1909-08-20 – 1978-11-28
André René Roussimoff|Andrew René Roussanoff|1946-05-19 – 1993-01-28
Andrés Borghi|Arnau Brighi|1982-07-14
Andy Ackerman|Andrew Acremann|1956-09-19
Andy Bean|Alan Bene|1984-10-07
Andy Devine|Alan Devan|1905-10-07 – 1977-02-18
Andy Fickman|Andrew Ficksen|1970-12-25
Andy García|Allen Gracía|1956-04-12
Andy J. Forest|Andre Forsten|1955-05-10
Andy Kaufman|Andre Kaufner|1949-01-17 – 1984-05-16
Andy Lau|Alan Lei|1961-09-27
Andy Morahan|Andrew Murringham|1958-07-25
Andy Muschietti|Andrew Musetti|1973-08-26
Andy Samberg|Andrew Semburg|1978-08-18
Andy Serkis|Andrew Sorbis|1964-04-20
Andy Tennant|Andrew Tannert|1955-06-15
Andy Williams|Andy Wilhelms|1927-12-03 – 2012-09-25
Aneta Corsaut|Annette Corbeaut|1933-11-03 – 1995-11-06
Aneurin Barnard|Anorin Brenard|1987-05-08
Ang Dorje Sherpa|Anil Dorje Sherpa|1970
Ang Lee|An Li|1954-10-23
Angel Manuel Soto|Angel Marius Setso|1983-01-28
Angela Bassett|Angeline Bassoon|1958-08-16
Angela Bettis|Andrea Bittes|1973-01-09
Angela Finocchiaro|Anita Finocchietta|1955
Angela Greene|Amelia Gruen|1921-02-24 – 1978-02-09
Angela Lansbury|Angeline Landsborough|1925-10-16 – 2022-10-11
Angela Merkel|Amelie Murkel|1954-07-17
Angela Pleasence|Amanda Pleasefence|1941-09-30
Angela Robinson|Amelia Robensen|1971-02-14
Angela Stevens|Andrea Stephans|1925-05-08 – 2016-03-17
Angela Winkler|Andrea Winkelt|1944-01-22
Angelababy|Angelinabae|1989-02-28
Angelika Baumgart-Frey|Annelise Baumfrey-Gardt|
Angeliki Papoulia|Anastiki Papandrea|1975
Angelina Jolie|Jolene Angelique|1975-06-04
Angeline Ball|Angela Bowl|1969-06-28
Angelo Rossitto|Arno Rossetti|1908-02-18 – 1991-09-21
Angie Dickinson|Angel Ducklingson|1931-09-30
Angie Everhart|Andie Eversoft|1969-09-07
Angie Harmon|Angel Hormann|1972-08-10
Angourie Rice|Angoura Reitz|2001-01-01
Angus Macfadyen|Austen Macfadyng|1963-09-21
Angus MacLane|Austen MacLaine|1975-04-13
Angus Sampson|Austen Simpson|1979-02-12
Angélica Sancio|Amalia Sandon|
Anica Dobra|Aneke Dobrint|1963-06-03
Anika Decker|Anina Dacher|1975-08-01
Anika Noni Rose|Anita Noni Rosa|1972-09-06
Anil Kapoor|Anup Kapur|1959-12-24
Anita Briem|Annika Bruun|1982-05-29
Anita Ekberg|Annika Ekburg|1931-09-29 – 2015-01-11
Anita Louise|Annika Leona|1915-01-09 – 1970-04-25
Anita Morris|Annika Mortis|1943-03-14 – 1994-03-02
Anita Pallenberg|Annika Pallerburg|1942-04-06 – 2017-06-13
Anja Jaenicke|Antje Jahnecke|1963-10-09
Anja Kling|Antje Klang|1970-03-22
Anja Kruse|Antje Krause|1956-08-05
Anja Schüte|Antje Schnute|1964-09-02
Anja Sommavilla|Antje Summerville|1987-09-05
Anjelah Johnson|Anghela Jameson|1982-05-14
Anjelica Huston|Anjelika Husten|1951-07-08
Anke Engelke|Antje Enkele|1965-12-21
Anke Fuchs|Antje Fochs|1937-07-05 – 2019-10-14
Ann Dowd|Anne Dud|1956-01-30
Ann Dvorak|Anne Dvorsky|1911-08-02 – 1979-12-10
Ann Jillian|Anne Jillandy|1950-01-29
Ann Miller|Anne Mueller|1923-04-12 – 2004-01-22
Ann Mitchell|Anne Michael|1939-04-22
Ann Perry|Anne Percy|1936-03-23 – 2015-09-11
Ann Reinking|Anne Reinholt|1949-11-10 – 2020-12-12
Ann Robinson|Anne Robensen|1929-05-25
Ann Sears|Anne Fears|1933-06-01 – 1992-10-20
Ann Sheridan|Anne Shiredan|1915-02-21 – 1967-01-21
Ann Smyrner|Anne Smythen|1934-11-03 – 2016-08-29
Ann Zacharias|Anne Zedechias|1956-09-19
Ann-Kathrin Kramer|Ann-Katja Kaemmer|1966-04-04
Ann-Margret Olsson|Ann-Magda Ohlson|1941-04-28
Anna Ammirati|Amy Amorato|1979-01-01
Anna Belknap|Anka Belcroft|1972-05-22
Anna Boden|Anne Bodren|1979-10-20
Anna Camp|Anne Cape|1982-09-27
Anna Chancellor|Anka Chambellor|1965-04-27
Anna Chlumsky|Amy Chlomsky|1980-12-03
Anna Diop|Annie Devop|1988-02-06
Anna Elizabeth James|Amy Elizabeth Jones|
Anna Faris|Amy Ferris|1976-11-29
Anna Foerster|Annie Foster|1971
Anna Foglietta|Anne Fogliatti|1979-04-03
Anna Friel|Annie Fry|1976-07-12
Anna Galiena|Anne Galeone|1954-12-22
Anna Geislerová|Annie Geislinová|1976-04-17
Anna Gunn|Anne Gumm|1968-08-11
Anna Hutchison|Annie Hucklinson|1986-02-08
Anna Jimskaia|Anka Jonskaia|1979-01-22
Anna Kanakis|Annie Kakanis|1962-02-01 – 2023-11-19
Anna Kendrick|Anka Kerdeck|1985-08-09
Anna Loos|Anne Lost|1970-11-18
Anna Massey|Amy Mossie|1937-08-11 – 2011-07-03
Anna May Wong|Anya Mae Wang|1905-01-03 – 1961-02-03
Anna Nicole Smith|Annie Nicole Swift|1967-11-28 – 2007-02-08
Anna Paquin|Annie Paquet|1982-07-24
Anna Popplewell|Annie Pebblewell|1988-12-16
Anna Prucnal|Annie Pruclan|1940-12-17
Anna Schinz|Anne Schiltz|1987
Anna Stieblich|Anne Stibler|1965-02-20
Anna Telfer|Annie Telfon|
Anna-Maree Thomas|Annie-May Tobias|
Anna-Maria Sieklucka|Ana-Marina Sielinska|1992-05-31
Annabel Jankel|Annabeth Junkel|1955-06-01
Annabella Sciorra|Antonella Scirrea|1960-03-29
Annabelle Wallis|Annabeth Wallace|1984-09-25
Annabeth Gish|Annabelle Gosh|1971-03-13
AnnaLynne McCord|AnneLynne McKent|1987-07-16
AnnaSophia Robb|AnneSophia Ronn|1993-12-08
Anne Archer|Amy Arken|1947-08-24
Anne Bancroft|Amy Bankert|1931-09-17 – 2005-06-06
Anne Baxter|Amy Boxtra|1923-05-07 – 1985-12-12
Anne Brochet|Anna Brosche|1966-11-22
Anne Byrne|Anna Byrd|1943-09-28
Anne Consigny|Anny Corcigny|1963-05-25
Anne Fletcher|Ann Flaetscher|1966-05-01
Anne Fontaine|Anna Fleuvement|1959-07-15
Anne Francis|Ann Franklins|1930-09-16 – 2011-01-02
Anne Goursaud|Anne Goulart|1943-12
Anne Graf|Anna Gral|
Anne Hathaway|Amy Handaway|1982-11-12
Anne Heche|Amy Hetchel|1969-05-25 – 2022-08-11
Anne Le Ny|Anna Le My|1969-12-31
Anne Lockhart|Amy Lockhertz|1953-09-06
Anne Marivin|Anny Marviel|1974-01-23
Anne Parillaud|Annie Perillaux|1960-05-06
Anne Ramsay|Amy Rimsey|1960-09-11
Anne Ramsey|Amy Rimsay|1929-03-27 – 1988-08-11
Anne Revere|Anna Reverst|1903-06-25 – 1990-12-18
Anne Schedeen|Amy Swedeen|1949-01-08
Anne Watanabe|Anna Watanuki|1986-04-14
Anne Wiazemsky|Anna Wiazinsky|1947-05-14 – 2017-10-05
Anne-Louise Lambert|Anna-Louise Lombard|1955-08-21
Anne-Marie Johnson|Anna-Marie Jameson|1960-07-18
Anneke von der Lippe|Annine von der Klippe|1964-07-22
Anneli Sauli|Annika Saukki|1932-08-06 – 2022-03-15
Annemarie Wendl|Anne-Marlen Weindl|1914-12-26 – 2006-09-03
Annette Badland|Anette Bettland|1950-08-26
Annette Bening|Annette Benden|1958-05-29
Annette Frier|Anette Fror|1974-01-22
Annette O'Toole|Agathe O'Toone|1952-04-01
Anni-Frid Lyngstad|Anja-Frid Lynstren|1945-11-15
Annick Lavieville|Anouk Lavière|
Annie Corley|Amy Corbin|1952-08-15
Annie Ernaux|Anna Erlaux|1940-09-01
Annie Golden|Anna Golding|1951
Annie Mumolo|Amy Murolo|1973-07-10
Annie Potts|Amy Potters|1952-10-28
Annie Yi|Anne Yu|1969
Annielo Mele|Adelio Mela|
Annika Hallin|Andrea Mallin|1968-02-16
Annikki Tähti|Anneli Tären|1929-12-05 – 2017-06-19
Anny Duperey|Anne Dupuy|1947-06-28
Anouk Aimée|Anuk Aimard|1932-04-27 – 2024-06-18
Ansel Elgort|Anton Elgart|1994-03-14
Anthony Anderson|Antony Andresen|1970-08-15
Anthony Bajon|Antony Bajard|1994-04-07
Anthony Barrile|Anderson Barlenni|19xx
Anthony Boyle|Antonio Beule|1994-06-08
Anthony C. Ferrante|Antonio Ferrelli|
Anthony Daniels|Anderson Damians|1946-02-21
Anthony Dawson|Antonio Dewsun|1916-10-18 – 1992-01-08
Anthony Delon|Antoine Delong|1964-09-30
Anthony Drazan|Anderson Drevan|1955
Anthony E. Zuiker|Antony E. Zuckier|1968-08-17
Anthony Edwards|Antonio Edmonds|1962-07-19
Anthony Fabian|Anderson Fabien|19xx
Anthony Green|Antony Gray|1970-04-04
Anthony Head|Antony Hand|1954-02-20
Anthony Hickox|Antony Hornox|1959-01-30 – 2023-10-09
Anthony Hopkins|Antonio Chopkids|1937-12-31
Anthony Ilott|Antonio Iller|1990-5
Anthony LaPaglia|Anderson LaPalina|1959-01-31
Anthony Mackie|Antony Mecky|1978-09-23
Anthony Mann|Antony Mensch|1906-06-30 – 1967-04-29
Anthony Michael Hall|Antonio Mitchell Mall|1968-04-14
Anthony Minghella|Anderson Menghilla|1954-01-06 – 2008-03-18
Anthony Montgomery|Antonio Montgunnery|1971-06-02
Anthony Newley|Antony Neulayne|1931-09-24 – 1999-04-14
Anthony Perkins|Antony Peckings|1932-04-04 – 1992-09-12
Anthony Quayle|Antony Quael|1913-09-07 – 1989-10-20
Anthony Quinn|Antonio Quinch|1915-04-21 – 2001-06-03
Anthony Ramos|Antonio Ramis|1991
Anthony Rapp|Antony Raab|1971-10-26
Anthony Russo|Antoine Russi|1970-02-03
Anthony Starke|Antonio Stronge|1963-06-06
Anthony Steel|Antonio Stahl|1918-05-21 – 2001-03-21
Anthony Wager|Anderson Waegner|1932-06-24 – 1990-12-23
Anthony Waller|Antonio Wallin|1959-10-24
Anthony Weintraub|Antony Weingart|
Anthony Wong|Antoine Wang|1961-09-02
Anthony Zerbe|Antony Zurble|1936-05-20
Anthrax|Antaxe|
Antje Huber|Anke Hübner|1924-05-23 – 2015-09-30
Antje Mönning|Anke Möring|1978-02-02
Antje Traue|Anja Trübe|1981-01-18
Antje Weisgerber|Anja Weinsgerbler|1922-05-17 – 2004-09-29
Antoine Bertrand|Alexandre Berthod|1977-09-13
Antoine Fuqua|Alexandre Faqua|1965-05-30
Antoine Gouy|Alexandre Gouin|1980-04-17
Antoine Reinartz|Alexandre Reinritz|1985
Anton Diffring|Andrei Duffrin|1916-10-19 – 1989-05-20
Anton Walbrook|Arthur Walbruch|1896-11-19 – 1967-08-09
Anton Yelchin|Andrei Yeshkin|1989-03-11 – 2016-06-19
Antonella Interlenghi|Annabella Intraveni|1961-08-06
Antonio Banderas|Antonio Barreras|1960-08-10
Antonio Fargas|Anthony Farlan|1946-08-14
Antonio Gades|Anthony Godels|1936-11-14 – 2004-07-20
Antonio Margheriti|Antonio Margherata|1930-09-19 – 2002-11-04
Antonio Salines|Allessandro Salames|1936-07-01 – 2021-06-22
Antonio Tarver|Anthony Tarving|1968-11-21
António Vilar|Alonzo Virel|1912-10-31 – 1995-08-16
Anuk Steffen|Anouk Stephan|2004-12-19
Anulka Dziubinska|Aneta Dziembowska|1950-12-14
Anupam Kher|Anurag Khar|1955-03-07
Anwar Congo|Amir Conga|1940-02-19 – 2019-10-25
Anya Taylor-Joy|Alma Saylor-Join|1996-04-16
Ao Shen|Ari Shin|1986-09-11
Aoi Yamada|Aka Yamaga|2000-06-24
Aomi Muyock|Aina Murok|1989-01-14
Aparna Brielle|Arpita Brailler|1994-02-05
Aparshakti Khurana|Arvashan Khokhara|1987-11-18
Apollonia Kotero|Apolliana Ketorro|1959-08-02
April Clough|Adele Cloff|1953-04-16
Aqueela Zoll|Amira Zell|1988-12-17
Araceli Segarra Roca|Arelia Segana Roco|1970-03-26
Archie Hahn|Andrew Huhne|1941-11-01
Archie Madekwe|Arthur Mandeke|1995-02-10
Archie Panjabi|Arda Punjabi|1972-05-31
Archie Yates|Andrew Yeets|2009-02-22
Aretha Franklin|Aritha Franken|1942-03-25 – 2018-08-16
Ari Aster|Aki Aston|1986-07-15
Ari Cohen|Aki Cohab|
Ari Folman|Aki Folmar|1962-12-17
Ariadna Gil|Ariane Gel|1969-01-23
Arian Moayed|Adrian Morad|1980-04-15
Ariana DeBose|Ariane DeBost|1991-01-25
Ariana Greenblatt|Ariella Gruenbloat|2007-08-27
Ariana Richards|Ariella Rogers|1979-12-11
Ariane Labed|Ariana Labert|1984-05-08
Arianna Scott|Aria Scotch|
Arie Verveen|Ariel Verlan|1976-09-28
Ariel Gade|Aileen Gayl|1996-05-01
Ariela Barer|Arina Barren|1998-10-14
Arielle Dombasle|Ariana Damebosler|1953-04-27
Arielle Kebbel|Ariana Keblen|1985-02-19
Arifin Putra|Arion Putre|1987-05-01
Arija Bareikis|Ariane Barens|1966-07-21
Arisa Nakano|Akira Nakata|2005
Arjay Smith|Arvee Swift|1983-11-27
Arlene Dahl|Arleen Dahm|1925-08-11 – 2021-11-29
Arlene Francis|Arlena Franklins|1907-10-20 – 2001-05-31
Arliss Howard|Addis Harvey|1954-10-18
Armand Assante|Arnaud Assanto|1949-10-04
Armand Mastroianni|Arnaud Maestrellani|1948-08-01
Armie Hammer|Aldrie Hamper|1986-08-28
Armin Maiwald|Armin Märzwald|1940-01-23
Armin Mueller-Stahl|Arno Meier-Strahl|1930-12-17
Armin Rohde|Arno Roder|1955-04-04
Arna Selznick|Aria Salzneck|1950-03-07
Arnel Taci|Aren Talen|1986
Arno Frisch|Arnold Fesch|1975-11-13
Arno Paulsen|Armin Peterson|1900-01-03 – 1969-09-17
Arnold Friedman|Arnold Freudman|1937-04-12 – 1995-02-14
Arnold Johnson|Arthur Jameson|1921-11-15 – 2000-04-10
Arnold Schwarzenegger|Arnold Weissenacker|1947-07-30
Arnold Stang|Arthur Stall|1925-09-28 – 2009-12-20
Arnold Vosloo|Arthur Vesloo|1962-06-16
Aroldo Tieri|Arvino Terolo|1917-08-28 – 2006-12-28
Arsenio Hall|Aurelio Mall|1956-02-12
Arsseni Bultmann|Arsseno Buhltmer|2005-02
Art Carney|Al Carsay|1918-11-04 – 2003-11-09
Art Malik|Al Malleck|1952-11-13
Art Metrano|Al Matreno|1936-09-22 – 2021-09-08
Art Parkinson|Arne Parkerson|2001-10-19
Arthur Allan Seidelman|Arnold Allen Seidemann|
Arthur C. Clarke|Archer C. Clerk|1917-12-16 – 2008-03-19
Arthur Franz|Archie Fritz|1920-02-29 – 2006-06-17
Arthur Hill|Archie Mill|1922-08-01 – 2006-10-22
Arthur Hiller|Archie Heller|1923-11-22 – 2016-08-17
Arthur Kennedy|Archie Remedy|1914-02-17 – 1990-01-05
Arthur Lowe|Arnold Loeb|1915-09-22 – 1982-04-15
Arthur Lubin|Archie Lubert|1898-07-25 – 1995-05-12
Arthur Miller|Archie Mueller|1915-10-17 – 2005-02-10
Arthur Penn|Archer Pann|1922-09-27 – 2010-09-28
Arthur Treacher|Arnold Trenchen|1894-07-23 – 1975-12-14
Arthur Wellin|Archie Welland|1880-10-31 – 1941
Artie Shaw|Arty Shave|1910-05-23 – 2004-12-30
Arved Friese|Arvid Friesling|2002
Ary Abittan|Aric Abellan|1974-01-31
Asa Butterfield|Asen Butterly|1997-04-01
Asghar Farhadi|Ashram Farandi|1972
Ashanti|Akashi|1980-10-13
Asher Angel|Aston Anglic|2002-09-06
Ashlee Simpson|Aisley Sampson|1984-10-03
Ashleigh Ball|Ainsley Bowl|1983-03-31
Ashley Greene|Audrey Gruen|1987-02-21
Ashley Judd|Audrey Jodd|1968-04-19
Ashley Laurence|Audrey Lawrent|1966-05-28
Ashley Tisdale|Audrey Tislen|1985-07-02
Ashley Zukerman|Astley Zugarmann|1983-12-30
Ashton Kutcher|Austen Kutching|1978-02-07
Ashton Sanders|Austen Sonders|1995-10-24
Ashutosh Rana|Anutosh Rena|1967-11-10
Asia Argento|Ava Argentum|1975-09-20
Asia Kate Dillon|Asha Kate Dillsen|1984-11-15
Asia Vieira|Ava Vieri|1982-05-18
Assumpta Serna|Asunta Serrán|1957-09-16
Astrid Bergès-Frisbey|Àgnes Bruguière-Frosbee|1986-05-26
Astrid Boner|Asta Blunder|1935
Astrid Frank|Agnes Fred|1944-08-09
Ate de Jong|Arie de Jore|1953
Athena Karkanis|Adele Kanarkis|1981-09-07
Atom Egoyan|Arsen Erganian|1960-07-19
Atsushi Yamatoya|Akihiro Yomagaya|1936-06-19 – 1993-01-16
Atze Schröder|Ätze Schredder|1965-09-27
Aubrey Plaza|Amber Plazo|1984-06-26
Aud Egede-Nissen|Ava Egeda-Nilsen|1893-05-30 – 1974-11-06
Audra Lindley|Audrey Linden|1918-09-24 – 1997-10-16
Audra McDonald|Audrey McDonut|1970-07-03
Audrey Dalton|Aubrey Dalting|1934-01-21
Audrey Diwan|Ashley Dinan|1980
Audrey Fleurot|Aubrey Floret|1977-07-06
Audrey Hepburn|Aubrey Hipturn|1929-05-04 – 1993-01-20
Audrey Tautou|Audra Tattou|1976-08-09
August Diehl|Augustus Duehl|1976-01-04
August Schellenberg|Austen Schillerburg|1936-07-25 – 2013-08-15
August Zirner|Ansgar Zuerner|1956-01-07
Augusto Pinochet|Agustin Pichonnet|1915-11-25 – 2006-12-10
Aunjanue Ellis-Taylor|Aundra Jane Ellens-Saylor|1969-02-21
Aurore Clément|Ariane Claret|1945-10-12
Aurore Erguy|Aurelia Ergent|1980-08-03
Aurélien Recoing|Aymeric Reconde|1958-05-05
Austin Butler|Austen Bettler|1991-08-17
Austin Nichols|Austen Nickels|1980-04-24
Austin North|Austen Nord|1996-07-30
Austin O'Brien|Austen O'Bryan|1981-05-11
Austin P. McKenzie|Aidan P. McKendry|1993-08-24
Austin Pendleton|Austen Pendillon|1940-03-27
Ava DuVernay|Ada DuVorney|1972-08-24
Ava Gardner|Ada Gaertner|1922-12-24 – 1990-01-25
Ava Preston|Ada Pressing|
Aven Courtney|Arin Colette|
Avery Brooks|Aden Brucks|1948-10-02
Avi Nesher|Arie Nessen|1953-12-13
Aviva Joel|Aviana Jean|1949-10-28
Avril Lavigne|April Laverne|1984-09-27
Awkwafina|Awkualina|1988-06-02
Axel Braun|Alex Brown|1966-09-22
Axel Milberg|Alex Müllberg|1956-08-01
Axel Neumann|Alex Neuheim|1966-12-12
Axel Prahl|Alex Prall|1960-03-26
Axel von Ambesser|Alex van Armbeisser|1910-06-22 – 1988-09-06
Ayane Miura|Airi Miuchi|1995-05-08
Ayelet Zurer|Aviya Zuring|1969-06-28
Ayesha Dharker|Aila Dharkest|1978-03-16
Ayrton Senna|Airton Senga|1960-03-21 – 1994-05-01
Ayub Khan-Din|Amir Khalin|1961
Babak Anvari|Bahram Afkari|19xx
Babak Najafi|Behrad Navabi|1975-09-14
Bahar Pars|Biana Pers|1979-03-28
Bahar Soomekh|Basma Shamekh|1975-03-30
Bai Baihe|Bo Bairi|1984-03-01
Bailee Madison|Bella Matterson|1999-10-15
Bailey Noble|Brenna Nobell|1990-10-13
Bailey Spry|Brenna Sprawl|1995-06-07
Baltasar Kormákur|Baldur A. Karnákur|1966-02-27
Balthazar Getty|Basil Gotcha|1975-01-22
Bam Margera|Ben Margeiro|1979-09-28
Banksy|Bonksy|1974
Baoguo Chen|Baojun Chan|1956-03-09
Baoqiang Wang|Baolin Wong|1984-05-29
Barbara Avedon|Beatrice Avelen|1930-06-29 – 1994-08-31
Barbara Babcock|Beatrice Bebcuck|1937-02-27
Barbara Bach|Bärbel Bächli|1946-08-28
Barbara Baxley|Beatrice Bruxlay|1923-01-01 – 1990-06-07
Barbara Bedford|Beatrice Bradley|1903-07-19 – 1981-10-25
Barbara Bel Geddes|Beatrice Bel Geddits|1922-10-31 – 2005-08-08
Barbara Białowąs|Beata Białorás|1978-08-10
Barbara Bouchet|Barbette Bournet|1943-08-15
Barbara Carrera|Barbette Carrina|1945-12-31
Barbara Corday|Beatrice Cornight|1944-10-15
Barbara Cupisti|Barbette Cupitski|1962-01-24
Barbara Eden|Beatrice Edel|1931-08-23
Barbara Harris|Barbette Harrels|1935-07-25 – 2018-08-21
Barbara Hershey|Beatrice Hervey|1948-02-05
Barbara Laage|Beatrice Laarve|1920-07-30 – 1988-05-19
Barbara May|Barbette Maerz|1961-04-28
Barbara Nedeljáková|Bohdana Nemerjaková|1979-05-16
Barbara O'Neil|Barbette O'Neal|1910-07-17 – 1980-09-03
Barbara Rudnik|Beatrice Rotneck|1958-07-27 – 2009-05-23
Barbara Rush|Barbette Rash|1927-01-04 – 2024-03-31
Barbara Rütting|Beatrice Rüsting|1927-11-21 – 2020-03-28
Barbara Stanwyck|Beatrice Steynwack|1907-07-16 – 1990-01-20
Barbara Sukowa|Beatrice Sowuka|1950-02-02
Barbara Valentin|Beatrice Valentim|1940-12-15 – 2002-02-22
Barbara Wussow|Bärbel A. Wuffoff|1961-03-28
Barbet Schroeder|Barquet Schroeler|1941-08-26
Barbra Streisand|Beatrice Streusand|1942-04-24
Barkhad Abdi|Basim Abdan|1985-04-10
Barnaby Metschurat|Barnabas Matschurek|1974-09-22
Barnard Hughes|Bernat Hulls|1915-07-16 – 2006-07-11
Barney Clark|Barry Clerk|1993-06-25
Barret Oliver|Barrett Orviller|1973-08-24
Barry Bostwick|Bradley Bostern|1945-02-24
Barry Cook|Bernie Cork|1958-08-12
Barry Corbin|Brian Corley|1940-10-16
Barry Crane|Bernhard Crate|1927-11-10 – 1985-07-05
Barry Foster|Bernie Foerster|1927-08-21 – 2002-02-11
Barry Jenkins|Barney Jenkers|1979-11-19
Barry Keoghan|Barney Keolan|1992-10-18
Barry Levinson|Baron Levyssen|1942-04-06
Barry Manilow|Barney Mandilov|1943-06-17
Barry Miller|Brian Mueller|1958-02-06
Barry Nelson|Barton Nielsen|1917-04-16 – 2007-04-07
Barry Newman|Byron Newton|1930-11-07 – 2023-05-11
Barry Pepper|Bernie Pfeffer|1970-04-04
Barry Shabaka Henley|Baron Shabaka Humley|1954-09-15
Barry Sonnenfeld|Bernhard Sunnyfield|1953-04-01
Barry Sullivan|Brian Sollivan|1912-08-29 – 1994-06-06
Barry Tubb|Bradley Tube|1963-02-13
Bartlett Robinson|Baxter Robensen|1912-12-09 – 1986-03-26
Barton MacLane|Baron MacLaine|1902-12-25 – 1969-01-01
Bashar Rahal|Basil Rahar|1974-10-20
Basil Hoffman|Bassel Hopeman|1938-01-18 – 2021-09-17
Basil Rathbone|Bassel Raspbone|1892-06-13 – 1967-07-21
Basil Sydney|Bassel Sydnor|1894-04-23 – 1968-01-10
Bastian Pastewka|Bastian Pasteffke|1972-04-04
Bastian Schweinsteiger|Benjamin Steigschweinderl|1984-08-01
Bayard Rustin|Bayley Rostin|1912-03-17 – 1987-08-24
Baz Luhrmann|Bas Lugmann|1962-09-17
BD Wong|DB Wang|1960-10-24
Bea Fiedler|Babsi Fiddler|1957-06-28
Beach Boys|Beach Guys|
Beanie Feldstein|Beety Fellsteig|1993-06-24
Beate Hasenau|Beata Haslerau|1936-04-15 – 2003-10-01
Beate Uhse|Beate Ohse|1919-10-25 – 2001-07-16
Beatie Edney|Beatey Edmar|1962-10-23
Beatles|Beatlings|
Beatrice Kay|Beverly Kate|1907-04-21 – 1986-11-08
Beatrice Straight|Beatrix Stray|1914-08-02 – 2001-04-07
Beau Bridges|Bram Bruckners|1941-12-09
Beau Garrett|Bo Graham|1982-12-28
Beau Knapp|Bram Krepp|1989-04-17
Bebe Neuwirth|Bibi Neuwuerz|1958-12-31
Beck Weathers|Bert Wetters|1946-12-16
Becky G|Betty G|1997-03-02
Bee Gees|Gel Bees|
Bee Vang|Bli Vong|1991-11-04
Beeban Kidron|Beyban Kindran|1961-05-02
Bei'er Bao|Bairon Bai|1984-05-03
Bel Powley|Bal Powling|1992-03-07
Bela Lugosi|László Bugosi|1882-10-20 – 1956-08-16
Belinda Bauer|Belinda Bacher|1950-06-13
Bella Heathcote|Belle Heatcott|1987-05-27
Belmont Cameli|Benton Carmelo|1998-03-01
Ben Affleck|Bren Afflict|1972-08-15
Ben Barnes|Bob Burnes|1981-08-20
Ben Becker|Bernd Backe|1964-12-19
Ben Browder|Bill Brewding|1962-12-11
Ben Carruthers|Bill Carrivers|1936-08-14 – 1983-09-27
Ben Chaplin|Bob Chatkin|1969-07-31
Ben Cross|Bert Criss|1947-12-16 – 2020-08-18
Ben Falcone|Bob Flakan|1973-08-25
Ben Feldman|Bud Fieldmann|1980-05-27
Ben Foster|Brad Foerster|1980-10-29
Ben Fransham|Bud Franzheim|1970-06-15
Ben Gazzara|Bud Gazzoli|1930-08-28 – 2012-02-03
Ben Hardy|Bren Heartly|1991-01-02
Ben Hollingsworth|Bill Hollerswerth|1984-09-07
Ben Johnson|Brad Jameson|1918-06-13 – 1996-04-08
Ben Kingsley|Bob Kinslay|1943-12-31
Ben Mendelsohn|Bud Haendelson|1969-04-03
Ben Miles|Bob Meters|1967
Ben Miller|Bill Mueller|1966-02-24
Ben Reed|Bren Weed|1965-05-01
Ben Schnetzer|Bud Schnedler|1990-02-08
Ben Schwartz|Bert Schwan|1981-09-15
Ben Sharpsteen|Bob Steepsharn|1895-11-04 – 1980-12-20
Ben Shenkman|Bob Shankmen|1968-09-26
Ben Stiller|Bob Stilling|1965-11-30
Ben Wheatley|Bill Whitzly|1972-05-07
Ben Whishaw|Brad Warshaw|1980-10-14
Benedetta Porcaroli|Basilica Porcorelli|1998-06-11
Benedict Cumberbatch|Benjamin Cucumbatch|1976-07-19
Benedict Wong|Benjamin Wang|1971-07-03
Bengt Ekerot|Benkt Ekerson|1920-02-08 – 1971-11-26
Benh Zeitlin|Barth Zeitlan|1982-10-14
Benicio del Toro|Benito del Torso|1967-02-19
Benito Mussolini|Benito Massolino|1883-07-29 – 1945-04-28
Benjamin Bratt|Benedict Brant|1963-12-16
Benjamin Caron|Benedict Carren|1976-07-02
Benjamin Emanuel|Benedict Emilio|
Benjamin Evan Ainsworth|Benedict Evan Ainswehr|2008-09-25
Benjamin Flores Jr.|Benedict Florins Jr.|2002-07-24
Benjamin Lavernhe|Bastien Lavert|1984-08-14
Benjamin Renner|Bastien Running|1983-11-14
Benjamin Salisbury|Bastian Salinsburough|1980-10-19
Benjamin Walker|Benedict Walking|1982-06-21
Benjamin Weygand|Benedict Weyngart|2002-03-01
Benji Gregory|Ben diGregorey|1978-05-26 – 2024-06-13
Bennet Meyer|Benson Mayr|2003
Bennett Lasseter|Brendon Lesseater|
Bennett Miller|Brandon Mueller|1966-12-30
Benno Fürmann|Bruno Führmensch|1972-01-17
Benny Andersson|Bennie Andressen|1946-12-16
Benny Chan|Bennie Chen|1961-10-24 – 2020-08-23
Benny Goodman|Bennie Gutmann|1909-05-30 – 1986-06-13
Benny Hill|Bennie Mill|1924-01-21 – 1992-04-20
Benny Safdie|Barry Saftle|1986-02-24
Benoît Magimel|Benoist Magnel|1974-05-11
Benoît Poelvoorde|Bastien Polveaux|1964-09-22
Benoît Robail|Benoist Robaine|
Benoît Régent|Benoist Regnard|1953-08-19 – 1994-10-22
Berant Zhu|Beren Zhen|1999
Bernadette Lafont|Beatrice Lafren|1938-10-28 – 2013-07-25
Bernadette Peters|Beatrix Paulers|1948-02-28
Bernard Blier|Bertrand Blaise|1916-01-11 – 1989-03-29
